word,videos
sign,mediapipe_landmarks/part_10_sign_16.npz
hurt,mediapipe_landmarks/part_9_hurt_video_21.npz
gun,mediapipe_landmarks/part_8_gun_20241119_172644_62.npz
name,mediapipe_landmarks/part_9_name_video_7.npz
inside,mediapipe_landmarks/part_9_inside_video_8.npz
careful,mediapipe_landmarks/part_7_careful_video_3.npz
pain,mediapipe_landmarks/part_9_pain_1.npz
address,mediapipe_landmarks/part_2_20951289492025293-ADDRESS.npz
near,mediapipe_landmarks/part_4_6325824847898331-seedNEAR.npz
wait,mediapipe_landmarks/part_11_wait_video_8.npz
gun,mediapipe_landmarks/part_8_gun_20241119_172644_50.npz
shoot,mediapipe_landmarks/part_10_shoot_20241119_172653_79.npz
now,mediapipe_landmarks/part_2_32936308705065365-NOW.npz
behind,mediapipe_landmarks/part_7_behind_video_1.npz
help,mediapipe_landmarks/part_6_9483688560737478-HELP.npz
front,mediapipe_landmarks/part_8_front_11.npz
fs,mediapipe_landmarks/part_6_O_video_0_o_aug_5.npz
understand,mediapipe_landmarks/part_3_4687993210650012-UNDERSTAND.npz
help,mediapipe_landmarks/part_6_9165653074606479-HELP.npz
accident,mediapipe_landmarks/part_6_accident_10.npz
deaf,mediapipe_landmarks/part_7_deaf_20241119_172639_7.npz
name,mediapipe_landmarks/part_6_9200587270292702-NAME.npz
accident,mediapipe_landmarks/part_1_08442183866728903-ACCIDENT.npz
gun,mediapipe_landmarks/part_8_gun_20241119_172644_44.npz
doctor,mediapipe_landmarks/part_8_doctor_20241119_172640_52.npz
interpreter,mediapipe_landmarks/part_9_interpreter_6.npz
nurse,mediapipe_landmarks/part_9_nurse_video_6.npz
now,mediapipe_landmarks/part_3_5295273734383446-NOW.npz
who,mediapipe_landmarks/part_1_042301515237099796-WHO.npz
where,mediapipe_landmarks/part_6_9084539059220444-WHERE.npz
hurt,mediapipe_landmarks/part_1_024957790105810895-HURT.npz
help,mediapipe_landmarks/part_2_23773456898680978-HELP.npz
address,mediapipe_landmarks/part_5_8477086608678521-ADDRESS.npz
call,mediapipe_landmarks/part_7_call_20241119_172635_56.npz
alarm,mediapipe_landmarks/part_1_007052570289345361-ALARM.npz
go,mediapipe_landmarks/part_6_9981647509356435-GO.npz
where,mediapipe_landmarks/part_4_5985508360496106-WHERE.npz
fs,mediapipe_landmarks/part_6_C • ASL Dictionary.npz
fingerspelling,mediapipe_landmarks/part_5_8597842202887007-FINGERSPELLING.npz
fs,mediapipe_landmarks/part_6_T • ASL Dictionary_t_aug_9.npz
no,mediapipe_landmarks/part_9_no_16.npz
write,mediapipe_landmarks/part_11_write_video_6.npz
alarm,mediapipe_landmarks/part_6_alarm_7.npz
left,mediapipe_landmarks/part_4_5676946482783816-LEFT.npz
outside,mediapipe_landmarks/part_5_7769271033995591-seedOUTSIDE.npz
nurse,mediapipe_landmarks/part_9_nurse_video_2.npz
fire,mediapipe_landmarks/part_1_17360167788419623-FIRE.npz
ok,mediapipe_landmarks/part_5_8365211156949848-seedOK.npz
