word,videos
a,mediapipe_landmarks/part_6_A.npz
a,mediapipe_landmarks/part_6_a_7.npz
a,mediapipe_landmarks/part_6_a_2.npz
a,mediapipe_landmarks/part_6_a_4.npz
a,mediapipe_landmarks/part_6_a_1.npz
a,mediapipe_landmarks/part_6_a_5.npz
a,mediapipe_landmarks/part_6_a_6.npz
a,mediapipe_landmarks/part_6_a_3.npz
a,mediapipe_landmarks/part_6_A_video_2.npz
a,mediapipe_landmarks/part_6_A_video_0.npz
a,mediapipe_landmarks/part_6_A_video_1.npz
a,mediapipe_landmarks/part_6_A • ASL Dictionary.npz
b,mediapipe_landmarks/part_6_B • ASL Dictionary.npz
b,
b,mediapipe_landmarks/part_6_b_3.npz
b,mediapipe_landmarks/part_6_b_4.npz
b,mediapipe_landmarks/part_6_b_5.npz
b,mediapipe_landmarks/part_6_b_2.npz
b,mediapipe_landmarks/part_6_b_1.npz
b,mediapipe_landmarks/part_6_b_6.npz
b,mediapipe_landmarks/part_6_B_video_0.npz
b,mediapipe_landmarks/part_6_B_video_1.npz
b,mediapipe_landmarks/part_6_B_video_2.npz
c,mediapipe_landmarks/part_6_C • ASL Dictionary.npz
c,mediapipe_landmarks/part_6_C.npz
c,mediapipe_landmarks/part_6_C_video_0.npz
c,mediapipe_landmarks/part_7_c_1.npz
c,mediapipe_landmarks/part_7_c_2.npz
c,mediapipe_landmarks/part_7_c_3.npz
c,mediapipe_landmarks/part_7_c_4.npz
c,mediapipe_landmarks/part_7_c_6.npz
c,mediapipe_landmarks/part_7_c_7.npz
d,mediapipe_landmarks/part_6_D • ASL Dictionary.npz
d,mediapipe_landmarks/part_6_D.npz
d,mediapipe_landmarks/part_7_d_8.npz
d,mediapipe_landmarks/part_7_d_2.npz
d,mediapipe_landmarks/part_7_d_1.npz
d,mediapipe_landmarks/part_7_d_3.npz
d,mediapipe_landmarks/part_7_d_4.npz
d,mediapipe_landmarks/part_7_d_5.npz
d,mediapipe_landmarks/part_7_d_7.npz
d,mediapipe_landmarks/part_7_d_6.npz
d,mediapipe_landmarks/part_6_D_video_0.npz
d,mediapipe_landmarks/part_6_D_video_1.npz
d,mediapipe_landmarks/part_6_D_video_2.npz
e,mediapipe_landmarks/part_6_E • ASL Dictionary.npz
e,mediapipe_landmarks/part_6_E.npz
e,mediapipe_landmarks/part_8_e_6.npz
e,mediapipe_landmarks/part_8_e_4.npz
e,mediapipe_landmarks/part_8_e_3.npz
e,mediapipe_landmarks/part_8_e_5.npz
e,mediapipe_landmarks/part_8_e_7.npz
e,mediapipe_landmarks/part_8_e_8.npz
e,mediapipe_landmarks/part_8_e_2.npz
e,mediapipe_landmarks/part_8_e_1.npz
e,mediapipe_landmarks/part_6_E_video_1.npz
e,mediapipe_landmarks/part_6_E_video_0.npz
e,mediapipe_landmarks/part_6_E_video_2.npz
f,mediapipe_landmarks/part_6_F • ASL Dictionary.npz
f,mediapipe_landmarks/part_8_f_4.npz
f,mediapipe_landmarks/part_8_f_1.npz
f,mediapipe_landmarks/part_8_f_2.npz
f,mediapipe_landmarks/part_8_f_3.npz
f,mediapipe_landmarks/part_8_f_5.npz
f,mediapipe_landmarks/part_8_f_6.npz
f,mediapipe_landmarks/part_8_f_7.npz
g,mediapipe_landmarks/part_6_G • ASL Dictionary.npz
g,mediapipe_landmarks/part_8_g_1.npz
g,mediapipe_landmarks/part_8_g_2.npz
g,mediapipe_landmarks/part_8_g_3.npz
g,mediapipe_landmarks/part_8_g_4.npz
g,mediapipe_landmarks/part_8_g_5.npz
g,mediapipe_landmarks/part_8_g_6.npz
g,mediapipe_landmarks/part_8_g_7.npz
h,mediapipe_landmarks/part_6_H • ASL Dictionary.npz
h,mediapipe_landmarks/part_8_h_4.npz
h,mediapipe_landmarks/part_8_h_5.npz
h,mediapipe_landmarks/part_8_h_6.npz
h,mediapipe_landmarks/part_8_h_7.npz
h,mediapipe_landmarks/part_8_h_8.npz
h,mediapipe_landmarks/part_8_h_2.npz
h,mediapipe_landmarks/part_8_h_1.npz
h,mediapipe_landmarks/part_8_h_5.npz
h,mediapipe_landmarks/part_6_H_video_2.npz
h,mediapipe_landmarks/part_6_H_video_0.npz
h,mediapipe_landmarks/part_6_H_video_4.npz
h,mediapipe_landmarks/part_6_H_video_3.npz
h,mediapipe_landmarks/part_6_H_video_1.npz
i,mediapipe_landmarks/part_6_I • ASL Dictionary.npz
i,mediapipe_landmarks/part_6_I.npz
i,mediapipe_landmarks/part_9_i_5.npz
i,mediapipe_landmarks/part_9_i_2.npz
i,mediapipe_landmarks/part_9_i_8.npz
i,mediapipe_landmarks/part_9_i_3.npz
i,mediapipe_landmarks/part_9_i_1.npz
i,mediapipe_landmarks/part_9_i_4.npz
i,mediapipe_landmarks/part_9_i_6.npz
i,mediapipe_landmarks/part_9_i_7.npz
j,mediapipe_landmarks/part_6_J • ASL Dictionary.npz
j,mediapipe_landmarks/part_6_J.npz
j,mediapipe_landmarks/part_9_j_6.npz
j,mediapipe_landmarks/part_9_j_2.npz
j,mediapipe_landmarks/part_9_j_1.npz
j,mediapipe_landmarks/part_9_j_3.npz
j,mediapipe_landmarks/part_9_j_5.npz
j,mediapipe_landmarks/part_9_j_7.npz
j,mediapipe_landmarks/part_9_j_8.npz
j,mediapipe_landmarks/part_9_j_4.npz
j,mediapipe_landmarks/part_6_J_video_1.npz
j,mediapipe_landmarks/part_6_J_video_2.npz
j,mediapipe_landmarks/part_6_J_video_3.npz
j,mediapipe_landmarks/part_6_J_video_0.npz
k,mediapipe_landmarks/part_6_K • ASL Dictionary.npz
k,mediapipe_landmarks/part_6_K.npz
k,mediapipe_landmarks/part_9_k_3.npz
k,mediapipe_landmarks/part_9_k_5.npz
k,mediapipe_landmarks/part_9_k_7.npz
k,mediapipe_landmarks/part_9_k_8.npz
k,mediapipe_landmarks/part_9_k_2.npz
k,mediapipe_landmarks/part_9_k_1.npz
k,mediapipe_landmarks/part_9_k_4.npz
k,mediapipe_landmarks/part_9_k_6.npz
k,mediapipe_landmarks/part_6_K_video_0.npz
k,mediapipe_landmarks/part_6_K_video_2.npz
k,mediapipe_landmarks/part_6_K_video_1.npz
l,mediapipe_landmarks/part_6_L • ASL Dictionary.npz
l,mediapipe_landmarks/part_9_l_3.npz
l,mediapipe_landmarks/part_9_l_4.npz
l,mediapipe_landmarks/part_9_l_5.npz
l,mediapipe_landmarks/part_9_l_6.npz
l,mediapipe_landmarks/part_9_l_7.npz
l,mediapipe_landmarks/part_9_l_8.npz
l,mediapipe_landmarks/part_6_L.npz
l,mediapipe_landmarks/part_6_L_video_2.npz
l,mediapipe_landmarks/part_6_L_video_1.npz
l,mediapipe_landmarks/part_6_L_video_0.npz
m,mediapipe_landmarks/part_6_M • ASL Dictionary.npz
m,mediapipe_landmarks/part_6_M.npz
m,mediapipe_landmarks/part_9_m_2.npz
m,mediapipe_landmarks/part_9_m_6.npz
m,mediapipe_landmarks/part_9_m_4.npz
m,mediapipe_landmarks/part_9_m_1.npz
m,mediapipe_landmarks/part_6_M_video_0.npz
m,mediapipe_landmarks/part_6_M_video_1.npz
m,mediapipe_landmarks/part_6_M_video_3.npz
m,mediapipe_landmarks/part_6_M_video_2.npz
n,mediapipe_landmarks/part_6_N • ASL Dictionary.npz
n,mediapipe_landmarks/part_6_N.npz
n,mediapipe_landmarks/part_9_n_6.npz
n,mediapipe_landmarks/part_9_n_2.npz
n,mediapipe_landmarks/part_9_n_4.npz
n,mediapipe_landmarks/part_9_n_1.npz
n,mediapipe_landmarks/part_6_N_video_1.npz
n,mediapipe_landmarks/part_6_N_video_5.npz
n,mediapipe_landmarks/part_6_N_video_2.npz
n,mediapipe_landmarks/part_6_N_video_3.npz
n,mediapipe_landmarks/part_6_N_video_0.npz
n,mediapipe_landmarks/part_6_N_video_4.npz
o,mediapipe_landmarks/part_6_O • ASL Dictionary.npz
o,mediapipe_landmarks/part_6_O.npz
o,mediapipe_landmarks/part_9_o_6.npz
o,mediapipe_landmarks/part_9_o_2.npz
o,mediapipe_landmarks/part_9_o_4.npz
o,mediapipe_landmarks/part_9_o_1.npz
o,mediapipe_landmarks/part_6_O_video_1.npz
o,mediapipe_landmarks/part_6_O_video_2.npz
o,mediapipe_landmarks/part_6_O_video_0.npz
p,mediapipe_landmarks/part_6_P • ASL Dictionary.npz
p,mediapipe_landmarks/part_6_P.npz
p,mediapipe_landmarks/part_9_p_1.npz
p,mediapipe_landmarks/part_9_p_4.npz
p,mediapipe_landmarks/part_9_p_7.npz
p,mediapipe_landmarks/part_9_p_2.npz
p,mediapipe_landmarks/part_6_P_video_2.npz
p,mediapipe_landmarks/part_6_P_video_1.npz
p,mediapipe_landmarks/part_6_P_video_0.npz
